00000,00,00000
00001,01,00001
00010,01,00002
00100,01,00004
01000,01,00008
10000,01,00016
00011,02,00003
00101,02,00005
00110,02,00006
01001,02,00009
01010,02,00010
01100,02,00012
10001,02,00017
10010,02,00018
10100,02,00020
11000,02,00024
00111,03,00007
01011,03,00011
01101,03,00013
01110,03,00014
10011,03,00019
10101,03,00021
10110,03,00022
11001,03,00025
11010,03,00026
11100,03,00028
01111,04,00015
10111,04,00023
11011,04,00027
11101,04,00029
11110,04,00030
11111,05,00031
