/Control_MAR_In,/Control_RAM_In,/Control_RAM_Out,Control_Clock,Control_Halt_In,User_Inspect,User_Program,User_Write,,/RAM_Write,/RAM_Output_Enable,/User_Output_Enable,/Databus_Output_Enable,Databus_Direction,Halt_Out,MAR_Clock
X,1,X,X,X,X,0,X,,1,0,0,0,0,0,0
X,X,X,X,X,X,1,0,,1,0,0,0,0,0,0
X,X,1,X,X,X,0,X,,0,1,0,0,0,0,0
X,X,X,X,X,0,1,X,,0,1,0,0,0,0,0
X,X,X,X,X,1,X,X,,0,0,1,0,0,0,0
X,X,X,X,X,X,0,X,,0,0,1,0,0,0,0
X,1,1,X,X,X,X,X,,0,0,0,1,0,0,0
X,X,X,X,X,X,1,X,,0,0,0,1,0,0,0
X,X,0,X,X,X,0,X,,0,0,0,0,1,0,0
X,X,X,X,1,X,X,X,,0,0,0,0,0,1,0
X,X,X,X,X,X,1,X,,0,0,0,0,0,1,0
0,X,X,1,X,X,X,X,,0,0,0,0,0,0,1
